Date,Open,High,Low,Close,Adj Close,Volume
2011-09-05,4.440000,4.440000,4.060000,4.250000,4.250000,839
2011-09-06,4.250000,4.510000,4.260000,4.260000,4.260000,127
2011-09-07,4.260000,4.430000,4.210000,4.210000,4.210000,50
2011-09-08,4.210000,3.890000,3.000000,3.160000,3.160000,626
2011-09-09,3.160000,3.300000,3.000000,3.000000,3.000000,72
2011-09-10,3.000000,4.000000,2.950000,3.000000,3.000000,233
2011-09-11,3.000000,3.990000,2.970000,2.970000,2.970000,88
2011-09-12,2.970000,3.850000,3.620000,3.690000,3.690000,1017
2011-09-13,3.690000,3.600000,3.500000,3.500000,3.500000,28
2011-09-14,3.500000,3.210000,2.950000,3.210000,3.210000,172
2011-09-15,3.210000,3.180000,3.040000,3.040000,3.040000,464
2011-09-16,3.040000,3.190000,3.040000,3.040000,3.040000,233
2011-09-17,3.040000,3.290000,3.290000,3.290000,3.290000,6
2011-09-18,3.290000,3.570000,3.200000,3.570000,3.570000,7
2011-09-19,3.570000,3.850000,3.720000,3.850000,3.850000,31
2011-09-20,3.850000,3.870000,3.280000,3.620000,3.620000,2893
2011-09-21,3.620000,3.700000,3.580000,3.600000,3.600000,628
2011-09-22,3.600000,3.740000,3.460000,3.740000,3.740000,417
2011-09-23,3.740000,3.620000,3.580000,3.620000,3.620000,10
2011-09-24,3.620000,3.620000,3.620000,3.620000,3.620000,0
2011-09-25,3.620000,3.400000,3.150000,3.240000,3.240000,113
2011-09-26,3.240000,3.270000,3.230000,3.230000,3.230000,524
2011-09-27,3.230000,3.200000,3.050000,3.150000,3.150000,1316
2011-09-28,3.150000,3.140000,3.070000,3.110000,3.110000,1001
2011-09-29,3.110000,3.350000,3.060000,3.350000,3.350000,189
2011-09-30,3.350000,3.300000,3.300000,3.300000,3.300000,1
2011-10-01,3.300000,3.300000,3.300000,3.300000,3.300000,0
2011-10-02,3.300000,3.270000,3.230000,3.260000,3.260000,77
2011-10-03,3.260000,3.310000,3.270000,3.280000,3.280000,2393
2011-10-04,3.280000,3.280000,3.270000,3.280000,3.280000,53
2011-10-05,3.280000,3.250000,2.960000,3.150000,3.150000,1700
2011-10-06,3.150000,3.070000,2.600000,2.810000,2.810000,77
2011-10-07,2.810000,2.850000,2.480000,2.480000,2.480000,345
2011-10-08,2.480000,2.730000,2.580000,2.730000,2.730000,249
2011-10-09,2.730000,2.620000,2.600000,2.620000,2.620000,54
2011-10-10,2.620000,2.660000,2.440000,2.600000,2.600000,1028
2011-10-11,2.600000,2.680000,2.540000,2.580000,2.580000,990
2011-10-12,2.580000,2.680000,2.570000,2.620000,2.620000,1093
2011-10-13,2.620000,2.650000,2.610000,2.610000,2.610000,156
2011-10-14,2.610000,2.560000,2.420000,2.420000,2.420000,116
2011-10-15,2.420000,2.400000,2.300000,2.330000,2.330000,3
2011-10-16,2.330000,2.370000,1.460000,1.660000,1.660000,881
2011-10-17,1.660000,1.740000,1.550000,1.560000,1.560000,55
2011-10-18,1.560000,1.610000,1.340000,1.360000,1.360000,2561
2011-10-19,1.360000,1.500000,1.430000,1.430000,1.430000,84
2011-10-20,1.430000,1.710000,1.520000,1.660000,1.660000,1769
2011-10-21,1.660000,2.030000,1.650000,2.030000,2.030000,1226
2011-10-22,2.030000,2.040000,1.930000,2.040000,2.040000,834
2011-10-23,2.040000,2.040000,1.640000,1.640000,1.640000,3510
2011-10-24,1.640000,1.820000,1.570000,1.700000,1.700000,26543
2011-10-25,1.700000,1.810000,1.650000,1.780000,1.780000,2936
2011-10-26,1.780000,1.890000,1.670000,1.800000,1.800000,4467
2011-10-27,1.800000,2.070000,1.890000,2.010000,2.010000,2416
2011-10-28,2.010000,2.300000,2.000000,2.170000,2.170000,449
2011-10-29,2.170000,2.290000,1.960000,1.960000,1.960000,4454
2011-10-31,1.960000,2.070000,1.970000,2.020000,2.020000,626
2011-11-01,2.020000,2.110000,1.900000,1.980000,1.980000,6557
2011-11-02,1.980000,2.090000,1.970000,2.080000,2.080000,1151
2011-11-03,2.080000,2.080000,1.950000,1.960000,1.960000,6265
2011-11-04,1.960000,2.050000,1.890000,1.900000,1.900000,1962
2011-11-05,1.900000,2.000000,1.850000,1.900000,1.900000,876
2011-11-06,1.900000,1.900000,1.850000,1.850000,1.850000,230
2011-11-07,1.850000,1.850000,1.850000,1.850000,1.850000,4739
2011-11-08,1.850000,1.990000,1.860000,1.860000,1.860000,1445
2011-11-09,1.860000,1.980000,1.870000,1.870000,1.870000,568
2011-11-10,1.870000,1.900000,1.800000,1.800000,1.800000,1256
2011-11-11,1.800000,1.920000,1.790000,1.850000,1.850000,7537
2011-11-12,1.850000,1.950000,1.860000,1.860000,1.860000,184
2011-11-13,1.860000,1.900000,1.900000,1.900000,1.900000,50
2011-11-14,1.900000,1.850000,1.400000,1.400000,1.400000,14709
2011-11-15,1.400000,1.520000,1.400000,1.470000,1.470000,1642
2011-11-16,1.470000,1.600000,1.440000,1.600000,1.600000,4445
2011-11-17,1.600000,1.600000,1.390000,1.400000,1.400000,3383
2011-11-18,1.400000,1.460000,1.390000,1.400000,1.400000,2269
2011-11-19,1.400000,1.400000,1.360000,1.400000,1.400000,251
2011-11-20,1.400000,1.520000,1.400000,1.520000,1.520000,2029
2011-11-21,1.520000,1.450000,1.430000,1.450000,1.450000,101
2011-11-22,1.450000,1.500000,1.450000,1.500000,1.500000,3851
2011-11-23,1.500000,1.540000,1.480000,1.500000,1.500000,2302
2011-11-24,1.500000,1.590000,1.490000,1.560000,1.560000,4979
2011-11-25,1.560000,1.610000,1.540000,1.610000,1.610000,2141
2011-11-26,1.610000,1.630000,1.580000,1.590000,1.590000,245
2011-11-27,1.590000,1.590000,1.560000,1.590000,1.590000,2075
2011-11-28,1.590000,1.670000,1.580000,1.610000,1.610000,3175
2011-11-29,1.610000,1.960000,1.600000,1.820000,1.820000,9787
2011-11-30,1.820000,2.000000,1.800000,1.950000,1.950000,5768
2011-12-01,1.950000,2.030000,1.850000,1.920000,1.920000,6940
2011-12-02,1.920000,2.020000,1.970000,2.010000,2.010000,2580
2011-12-03,2.010000,2.020000,1.830000,1.830000,1.830000,363
2011-12-04,1.830000,1.840000,1.700000,1.820000,1.820000,3232
2011-12-05,1.820000,1.850000,1.810000,1.840000,1.840000,2086
2011-12-06,1.840000,1.920000,1.840000,1.920000,1.920000,2212
2011-12-07,1.920000,1.960000,1.900000,1.930000,1.930000,3754
2011-12-08,1.930000,1.950000,1.890000,1.890000,1.890000,2033
2011-12-09,1.890000,1.930000,1.870000,1.870000,1.870000,1151
2011-12-10,1.870000,1.950000,1.890000,1.950000,1.950000,1710
2011-12-11,1.950000,2.180000,1.950000,2.140000,2.140000,8082
2011-12-12,2.140000,2.130000,1.940000,2.020000,2.020000,515
2011-12-13,2.020000,2.120000,2.000000,2.100000,2.100000,4865
2011-12-14,2.100000,2.100000,2.010000,2.060000,2.060000,827
2011-12-15,2.060000,2.060000,1.980000,2.050000,2.050000,316
2011-12-16,2.050000,2.120000,2.000000,2.000000,2.000000,3369
2011-12-17,2.000000,2.090000,2.000000,2.080000,2.080000,334
2011-12-18,2.080000,2.070000,2.000000,2.070000,2.070000,481
2011-12-19,2.070000,2.330000,2.070000,2.300000,2.300000,10202
2011-12-20,2.300000,2.790000,2.210000,2.440000,2.440000,4000
2011-12-21,2.440000,2.600000,2.490000,2.550000,2.550000,2571
2011-12-22,2.550000,2.570000,2.410000,2.480000,2.480000,1571
2011-12-23,2.480000,2.560000,2.430000,2.560000,2.560000,2045
2011-12-24,2.560000,2.540000,2.540000,2.540000,2.540000,50
2011-12-25,2.540000,2.810000,2.500000,2.690000,2.690000,4409
2011-12-26,2.690000,2.650000,2.500000,2.590000,2.590000,656
2011-12-27,2.590000,2.590000,2.530000,2.530000,2.530000,2921
2011-12-28,2.530000,2.770000,2.590000,2.740000,2.740000,1344
2011-12-29,2.740000,2.780000,2.680000,2.730000,2.730000,2787
2011-12-30,2.730000,2.800000,2.750000,2.800000,2.800000,501
2011-12-31,2.800000,3.120000,2.700000,3.070000,3.070000,1346
2012-01-01,3.070000,3.600000,3.000000,3.530000,3.530000,1414
2012-01-02,3.530000,3.570000,3.380000,3.460000,3.460000,443
2012-01-03,3.460000,3.460000,3.100000,3.200000,3.200000,1107
2012-01-04,3.200000,3.650000,3.180000,3.640000,3.640000,2763
2012-01-05,3.640000,4.640000,3.650000,4.640000,4.640000,1756
2012-01-06,4.640000,4.710000,4.130000,4.420000,4.420000,4810
2012-01-07,4.420000,4.430000,4.190000,4.420000,4.420000,835
2012-01-08,4.420000,4.660000,4.270000,4.660000,4.660000,328
2012-01-09,4.660000,4.700000,3.800000,4.100000,4.100000,5074
2012-01-10,4.100000,4.350000,4.000000,4.280000,4.280000,2947
2012-01-11,4.280000,4.660000,4.260000,4.570000,4.570000,4325
2012-01-12,4.570000,4.610000,4.250000,4.320000,4.320000,5603
2012-01-13,4.320000,4.530000,4.250000,4.360000,4.360000,4023
2012-01-14,4.360000,4.550000,4.150000,4.500000,4.500000,2866
2012-01-15,4.500000,4.620000,4.350000,4.620000,4.620000,42
2012-01-16,4.620000,4.700000,4.250000,4.490000,4.490000,1496
2012-01-17,4.490000,4.600000,3.000000,3.770000,3.770000,9814
2012-01-18,3.770000,4.400000,3.690000,3.930000,3.930000,5746
2012-01-19,3.930000,4.150000,3.840000,4.150000,4.150000,4195
2012-01-20,4.150000,4.300000,4.080000,4.290000,4.290000,401
2012-01-21,4.290000,4.300000,3.990000,4.080000,4.080000,1639
2012-01-22,4.080000,4.150000,4.010000,4.150000,4.150000,250
2012-01-23,4.150000,4.200000,4.000000,4.010000,4.010000,652
2012-01-24,4.010000,4.210000,4.100000,4.120000,4.120000,7962
2012-01-25,4.120000,4.160000,3.680000,3.810000,3.810000,7043
2012-01-26,3.810000,3.830000,3.490000,3.490000,3.490000,2084
2012-01-27,3.490000,3.530000,3.260000,3.410000,3.410000,4287
2012-01-28,3.410000,3.710000,3.350000,3.640000,3.640000,804
2012-01-29,3.640000,3.650000,3.420000,3.500000,3.500000,2230
2012-01-30,3.500000,3.620000,3.490000,3.590000,3.590000,879
2012-01-31,3.590000,3.630000,3.530000,3.600000,3.600000,6346
2012-02-01,3.600000,3.930000,3.550000,3.930000,3.930000,5110
2012-02-02,3.930000,3.950000,3.760000,3.920000,3.920000,2649
2012-02-03,3.920000,3.970000,3.690000,3.800000,3.800000,5193
2012-02-04,3.800000,3.870000,3.790000,3.800000,3.800000,1620
2012-02-05,3.800000,3.800000,3.540000,3.590000,3.590000,7696
2012-02-06,3.590000,3.690000,3.450000,3.450000,3.450000,4272
2012-02-07,3.450000,3.680000,3.500000,3.600000,3.600000,5425
2012-02-08,3.600000,3.740000,3.440000,3.650000,3.650000,4462
2012-02-09,3.650000,3.710000,3.550000,3.710000,3.710000,3950
2012-02-10,3.710000,3.830000,3.720000,3.820000,3.820000,2534
2012-02-11,3.820000,3.840000,3.610000,3.640000,3.640000,2011
2012-02-12,3.640000,3.710000,3.490000,3.580000,3.580000,5199
2012-02-13,3.580000,3.630000,3.380000,3.420000,3.420000,6494
2012-02-14,3.420000,3.480000,2.730000,2.860000,2.860000,11801
2012-02-15,2.860000,3.140000,2.690000,2.690000,2.690000,11194
2012-02-16,2.690000,2.890000,2.600000,2.760000,2.760000,3110
2012-02-17,2.760000,3.000000,2.750000,2.900000,2.900000,1275
2012-02-18,2.900000,2.890000,2.680000,2.750000,2.750000,9081
2012-02-19,2.750000,2.870000,2.690000,2.850000,2.850000,1222
